time,battery_level
2024-01-02 00:43:25.952067549+00:00,38.4
2024-01-02 00:55:16.307094407+00:00,27.4
2024-01-02 01:07:09.940016564+00:00,28.4
2024-01-02 01:19:03.267468870+00:00,26.4
2024-01-02 01:30:56.896874318+00:00,37.4
2024-01-02 01:42:50.427341903+00:00,24.4
2024-01-02 01:54:44.159323705+00:00,26.4
2024-01-02 02:06:37.687706217+00:00,37.4
2024-01-02 02:18:31.322029346+00:00,37.4
2024-01-02 02:30:25.465024850+00:00,26.4
2024-01-02 02:42:19.301439508+00:00,24.4
2024-01-02 02:54:13.242664899+00:00,26.4
2024-01-02 03:06:06.986602060+00:00,23.4
2024-01-02 03:18:00.609276058+00:00,33.4
2024-01-02 03:29:54.451240258+00:00,25.4
2024-01-02 03:41:48.488668207+00:00,25.4
2024-01-02 03:53:41.918699213+00:00,33.4
2024-01-02 04:05:35.109404608+00:00,28.4
2024-01-02 04:17:29.295887449+00:00,25.4
2024-01-02 04:29:22.607038066+00:00,27.4
2024-01-02 04:41:16.142024630+00:00,26.4
2024-01-02 04:53:08.955363908+00:00,30.4
2024-01-02 05:05:03.200973599+00:00,32.4
2024-01-02 05:16:56.834978287+00:00,27.4
2024-01-02 05:28:50.882480709+00:00,24.4
2024-01-02 05:40:44.915064517+00:00,23.4
2024-01-02 05:52:39.229791163+00:00,23.4
2024-01-02 06:04:33.104101969+00:00,27.4
2024-01-02 06:16:25.913455693+00:00,24.4
2024-01-02 06:28:19.237679536+00:00,25.4
2024-01-02 06:40:13.283491896+00:00,29.4
2024-01-02 06:52:07.015006397+00:00,21.4
2024-01-02 07:04:00.756700573+00:00,29.4
2024-01-02 07:15:55.097977208+00:00,26.4
2024-01-02 07:27:48.950661982+00:00,23.4
2024-01-02 07:39:42.782234835+00:00,23.4
2024-01-02 07:51:36.205840130+00:00,30.4
2024-01-02 08:03:30.450350611+00:00,33.4
2024-01-02 08:15:23.771353701+00:00,23.4
2024-01-02 08:27:17.506196052+00:00,28.4
2024-01-02 08:39:11.052238225+00:00,23.4
2024-01-02 08:51:04.582860964+00:00,23.4
2024-01-02 09:02:58.300531557+00:00,23.4
2024-01-02 09:14:51.933713477+00:00,29.4
2024-01-02 09:26:46.391191444+00:00,23.4
2024-01-02 09:38:39.606150359+00:00,23.4
2024-01-02 09:50:32.830830857+00:00,27.4
2024-01-02 10:02:27.593910194+00:00,28.4
2024-01-02 10:14:20.813636181+00:00,27.4
2024-01-02 10:26:14.723719923+00:00,25.4
2024-01-02 10:38:08.285586036+00:00,27.4
2024-01-02 10:50:02.019294309+00:00,27.4
2024-01-02 11:01:55.859763310+00:00,22.4
2024-01-02 11:13:49.522308980+00:00,22.4
2024-01-02 11:25:43.225800891+00:00,28.4
2024-01-02 11:37:36.548067592+00:00,20.4
2024-01-02 11:49:30.243262673+00:00,20.4
2024-01-02 12:01:24.536173952+00:00,21.4
2024-01-02 12:13:18.160094481+00:00,23.4
2024-01-02 12:25:12.203911636+00:00,28.4
2024-01-02 12:37:06.143114832+00:00,22.4
2024-01-02 12:48:59.435961590+00:00,20.4
2024-01-02 13:00:53.302876547+00:00,21.4
2024-01-02 13:12:46.630403216+00:00,20.4
2024-01-02 13:24:40.907202938+00:00,26.4
2024-01-02 13:36:34.095762462+00:00,28.4
2024-01-02 13:48:27.832284317+00:00,19.4
2024-01-02 14:00:21.462564271+00:00,28.4
2024-01-02 14:12:14.995922412+00:00,20.4
2024-01-02 14:24:09.047137369+00:00,20.4
2024-01-02 14:36:02.667875052+00:00,20.4
2024-01-02 14:47:56.207514332+00:00,21.4
2024-01-02 14:59:49.842718934+00:00,19.4
2024-01-02 15:11:43.874703438+00:00,26.4
